GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
Arhgef38	295449	1046875754; 1046875752; 1046875757; 1046827278	XP_017446839; XP_017449628; XP_017446837; XP_017446838	-
Arhgef39	298404	308153222	NP_001100146	B0BN40
Arhgef4	301334	1046837589; 1046905760; 1046905764; 564367892; 1046905762; 564311423; 1046837585; 1046837587	XP_006244790; XP_017452276; XP_017452277; XP_008756228; XP_017459338; XP_008765203; XP_006226854; XP_017459339	D3ZKB4
Arhgef40	361034	404501459; 	NP_001258242; 	A0A0G2JZE7
Arhgef5	140898	293346768; 392347284; 564303621	XP_001073085; XP_342677; XP_006224954	E9PT59
Arhgef6	363509	672089035; 53850659; 672089039; 1046907711; 672089033; 672089037	XP_008771874; XP_017457603; NP_001005565; XP_008771875; XP_008771873; XP_008771876	Q5XXR3
Arhgef7	114559	165377114; 672080653; 1046863005; 165377108; 672080661; 165377118; 672080655; 672080657; 672080659; 1046863003	XP_017455465; NP_001106993; XP_008769600; XP_017455464; XP_008769598; XP_008769601; NP_001106994; XP_008769599; XP_008769602; NP_446192	A3KMH4; O55043; Q52NK0; F1LNB0; Q923I5
Arhgef9	66013	13027402	NP_076447	Q9QX73; Q9ER22
Arid1a	297867	157817412; 564353176; 564353178	XP_006239073; NP_001100105; XP_006239074	-
Arid1b	282546	1046816516; 1046847555	XP_017445909; XP_017460056	-
Arid2	366980	672022454; 392349703	XP_008774842; XP_345868	D3ZJU0
Arid3a	314616	564358103; 1046895710; 564358105; 672058021; 224591422; 564358099	XP_008763391; XP_006240964; XP_006240966; XP_017450301; XP_006240967; NP_001101536	B5DEX9; E9PTY2
Arid3b	367092	564363964; 672062190; 157823629	XP_008764545; NP_001102471; XP_006243233	D3ZGC2
Arid3c	502946	291219900; 672052328; 672052330	XP_008761864; XP_008761863; NP_001167452	D3ZQB1
Arid4a	314205	157820197	NP_001101499	D4ADE4
Arid4b	84481	564391610; 564391602; 564391608; 672082107; 672082102; 672082105; 16758162	XP_006254078; XP_008769988; XP_006254081; XP_006254082; XP_008769986; XP_008769987; NP_445873; 	Q9JKB5
Arid5a	316327	1046904168; 1046904170; 1046904175; 77917562; 564368057; 564368055; 1046904172	XP_017451929; XP_006244868; XP_017451927; XP_017451928; NP_001030106; XP_006244869; XP_017451930	Q3KRC8; A0A0G2K0Q5
Arid5b	309728	157821533	NP_001101094	-
Arih1	300756	166157476	NP_001013126	Q5XI15; D3ZXL1
Arih2	316005	564365498; 59937915; 672063035; 564365496; 564365502; 672063032	XP_006243849; XP_008764759; XP_008764760; XP_006243847; NP_001012275; XP_006243846	D3ZJB8
Arih2os	108351828	1046903069; 1046835976	XP_017451680; XP_017459036	-
Arl1	64187	11693150	NP_071780	P61212; P41276
Arl10	306767	46391106; 1046865657	XP_006253691; NP_997048	Q6IMA8
Arl11	364396	61740633; 1046861600; 564386548	XP_006252197; XP_017455251; NP_001013451	Q5BK71
Arl13a	501617	66730533; 672088235	NP_001019537; XP_008771652	Q6AXT3
Arl13b	304037	564357683; 564357685; 1046895660; 1046895665; 1046895667; 157819537	XP_017450286; XP_017450285; NP_001100571; XP_017450287; XP_006240778; XP_006240779; 	M0RDU9
Arl14	103690167	672042760; 672015870	XP_008759336; XP_008773385	M0R6N0
Arl14ep	311279	672046526; 62078821	NP_001014067; XP_008760314	Q5FVK8
Arl14epl	685394	672083602; 672030663; 564393389; 564320599; 564320601; 1046868957; 672030661; 564320597; 564393387; 672083599; 564393385	XP_006254764; XP_008772347; XP_006222631; XP_008770406; XP_008770407; XP_008770405; XP_008772348; XP_006222632; XP_006254762; XP_006254763; XP_006222633	D3ZBL0
Arl15	689079	564299815; 564335302; 672015407; 672041499	XP_006232013; XP_008773283; XP_006224077; XP_008758963	F1M6C4
Arl16	688311	293340624; 392351821	XP_002724630; XP_003751033	M0R4K4
Arl2	65142	564332476; 13928996	XP_006230961; NP_113899	O08697
Arl2bp	498910	564394549; 564394551; 67846092; 1046870273	NP_001020077; XP_006255183; XP_006255182; XP_017456828	Q4V8C5
Arl3	64664	12083661; 564334130	XP_006231621; NP_073191	P37996; F8WG91
Arl4a	29308	564355826; 564355828; 9506403	NP_062059; XP_006240113; XP_006240114	P61214; P41275
Arl4c	103693239	806904716	NP_001292983	-
Arl4d	303559	1046849560; 157817378; 672068703	XP_008766276; XP_017452811; NP_001100522	B2RZ70
Arl5a	117050	672045109; 16758876	NP_446431; XP_008759918	P51646; Q4V8N2
Arl5b	364788	62543551; 564392362	NP_001015031; XP_006254374	A0A0G2QC65; G3V9B1; Q5BK02
Arl5c	497990	564374390; 564374388; 1046850225; 157817726	XP_006247459; NP_001102516; XP_017452959; XP_006247458	D3ZES1
Arl6	363760	564376456; 564376460; 157819379; 564376458	XP_006248255; NP_001102312; XP_006248253; XP_006248254	F7F983; B1WC73
Arl6ip1	293551	38454218	NP_942032	Q7TMZ5
Arl6ip4	288656	71043808	NP_001020801	Q4V8I5; Q499T6
Arl6ip5	66028	13027426	NP_076462	Q9ES40; Q9JKD1
Arl6ip6	499798	66730302	NP_001019481	Q68FV2
Arl8a	498234	157818451	NP_001102541	D3ZPP2
Arl8b	500282	66730258	NP_001019503	Q66HA6
Arl9	289565	1046858290; 47059169	XP_017454588; NP_997624	Q6IMA9
Armc1	294948	157823355; 672041878	XP_008759086; NP_001099895	F7F379; B0BN83
Armc10	296758	161333841	NP_001100046	B1WBW4
Armc12	294301	166157536	NP_001107249	B0BNC7
Armc2	499470	109510304; 564398283; 564398285; 1046829193	XP_001069261; XP_017443576; XP_574794; XP_006256641	D4AE64
Armc3	100361506	1046865231; 1046865226; 1046865228; 1046865233; 559098430	XP_017455918; XP_017455919; XP_017455920; NP_001273949; XP_017455917	-
Armc4	307036	672082259; 1046825198	XP_008770032; XP_017443151	-
Armc5	361653	1046843331; 57164097; 1046843329	XP_017444905; XP_017444906; NP_001009455	Q5PQP9
Armc6	306352	157823241	NP_001100776	-
Armc7	287827	1046848999; 1046848995; 189011634; 1046849001; 1046848997; 1046848993	XP_017452647; XP_006247773; XP_017452646; XP_017452648; NP_001120994; XP_017452649	E9PTF4; B2GUY5
Armc8	315949	1046900390; 1046900393; 564365115; 1046900395; 290563765	XP_006243685; NP_001166825; XP_006243686; XP_006243687; XP_006243684	F1M943
Armc9	301579	157820819	NP_001103133	-
Armcx1	501619	564399991; 66730535	NP_001019538; XP_006257305	Q5U310
Armcx2	367903	62079281; 672088232; 1046907762	XP_008771651; NP_001014296; XP_017457611	Q642B5; D4A765
Armcx3	367902	62079283	NP_001014295	Q5XID7
Armcx4	100359678	564323061; 672032560; 564323063; 564323065; 564399979; 564399983; 564399985; 564399987; 672032564; 672088311; 672088315; 564323057; 564323059; 564399981	XP_006257301; XP_008756723; XP_006227501; XP_006257300; XP_006227504; XP_006257303; XP_006227503; XP_008771677; XP_006227502; XP_006257299; XP_008771676; XP_006227500; XP_006257302; XP_008756724	-
Armcx6	363496	1046907699; 1046907701; 1046907696; 56090457; 672088222	NP_001007758; XP_008771647; XP_017457601; XP_017457602; XP_017457600	Q66HF0
Armh1	500531	224500890; 672053804	NP_001119769; XP_008762273	D4A9P2
Armh2	102548126	564391415; 564319868	XP_006254000; XP_006222456	-
Armh3	103689959	1046847359; 109460219; 1046847361; 1046818442; 1046818444; 109463946	XP_017445873; XP_574677; XP_001058595; XP_017445354; XP_017445357; XP_017445874	D3ZZE3
Armh4	361032	157821419	NP_001101844	-
Armt1	292267	1046840925; 564325115; 62945250	XP_006227895; XP_017444359; NP_001017447	Q6AYT5
Arnt	25242	564337649; 672043361; 564337647; 672043357; 7549744; 564337643	XP_006232915; XP_006232912; XP_008759502; NP_036912; XP_006232914; XP_008759503	P41739
Arnt2	25243	672037402; 158631187; 564329227; 564329229; 564329223; 672037409; 1046840690; 672037415; 564329231; 1046840683	XP_006229556; XP_006229560; XP_017444301; NP_036913; XP_006229558; XP_008757826; XP_006229559; XP_008757828; XP_017444302; XP_008757830	Q63643; Q78E60; Q30B64; Q63646; Q80T24
Arntl	29657	564330423; 1046841887; 1046841891; 1046841881; 1046841895; 71896600; 1046841885; 1046841883; 1046841893; 564330425	XP_017444557; NP_077338; XP_017444554; XP_017444555; XP_017444560; XP_017444558; XP_017444559; XP_006230091; XP_006230092; XP_017444556	O88810; Q9EPW1; O88337; Q499M8; D3ZT62
Arntl2	362464	1417861804	NP_596882	-
Arpc1a	81824	13592137	NP_112408	Q99PD4
Arpc1b	54227	9506405	NP_062162	O88656
Arpc2	301511	564368936; 157817229; 564368934	XP_006245227; NP_001100389; XP_006245228	A0A0G2K9A2
Arpc3	288669	157786926	NP_001099403	F1LRL8; B2GV73
Arpc4	297518	319020750	NP_001100085	B2RZ72
Arpc5	360854	71043638	NP_001020888	Q4KLF8
Arpc5l	296710	290650356	NP_001032856	Q4KM42; A1L108
Arpin	308765	157819945	NP_001101000	D4A1B2
Arpp19	60336	13928914; 564364568	XP_006243472; NP_113848	Q712U5
Arpp21	363153	564365918; 672063422; 1046900791; 1046900806; 1046900819; 1046900826; 564365924; 564365926; 1046900793; 1046900797; 1046900817; 564365920; 564365922; 564365932; 1046900795; 1046900782; 1046900784; 1046900813; 1046900815; 1046900824; 672063426; 1046900799; 1046900801; 1046900803; 1046900821; 564365916; 564365936; 1046900788; 1046900808; 1046900810; 224451111; 224451113	XP_006244044; XP_017451239; XP_017451244; XP_017451250; XP_017451253; XP_017451258; NP_001128517; XP_017451245; XP_017451256; XP_017451251; XP_017451254; XP_017451255; NP_001128518; XP_006244034; XP_006244036; XP_008764856; XP_017451241; XP_006244038; XP_006244039; XP_017451240; XP_017451243; XP_017451247; XP_017451248; XP_017451249; XP_006244037; XP_006244042; XP_017451252; XP_017451257; XP_006244035; XP_008764857; XP_017451242; XP_017451246	A0A0G2JVX9; D3ZQR3; Q5FVI0
Arr3	171107	564399504; 1046906782; 300253228; 1046906786	XP_017457390; XP_006257115; NP_001177922; XP_017457391	A0A096MJ89
Arrb1	25387	564329767; 564329777; 564329771; 564329765; 564329775; 6978537; 564329763; 564329769; 564329773	XP_006229800; XP_006229797; XP_006229802; NP_037042; XP_006229796; XP_006229798; XP_006229799; XP_006229801; XP_006229803	P29066
Arrb2	25388	6978539	NP_037043	P29067
Arrdc1	366001	564339599; 564339601; 201025386; 1046880571	XP_017447430; NP_001094240; XP_006233692; XP_006233693	Q68FT0; B0BNL6
Arrdc2	306344	157822203	NP_001100773	D3ZPW1
Arrdc3	309945	56119147; 1046872384; 	XP_017446304; NP_001007798; 	Q6TXF1
Arrdc4	293019	114145455; 1046841319; 1046841317	XP_006229430; NP_001041318; XP_006229429	Q7TP90
Arrdc5	680452	157821175	NP_001102878	M0R521
Arsa	315222	1046896040; 164519052	XP_017450375; NP_001030105	Q32KK2
Arsb	25227	77993374	NP_254278	Q32KK1; P50430; B4F7E2
Arse	310326	564336247; 564336245; 114145540	XP_006232342; NP_001041350; XP_006232343	Q32KK0
Arsg	303631	564374884; 564374900; 564374904; 672069768; 564374890; 564374894; 672069764; 1046849654; 564374888; 564374892; 564374898; 564374886; 564374902; 114145555	XP_006247665; XP_006247666; XP_006247668; XP_008766590; XP_017452832; XP_006247661; XP_008766591; XP_006247662; XP_006247670; XP_006247664; XP_006247669; XP_006247671; XP_006247663; NP_001041342	Q32KJ9
Arsi	307404	114145559	NP_001041346	Q32KJ8
Arsj	311013	114145538	NP_001041352	Q32KJ7
Arsk	365619	114145523	NP_001041382	Q32KJ2
Art1	308873	157820191	NP_001101011	D3ZJK0
Art2b	293152	672037752; 1046841441; 672037756; 1046841429; 1046841433; 672037762; 1046841431; 1046841436; 672037760; 1046841438; 1046841444; 672037750; 40254800	XP_008757919; XP_008757924; XP_017444446; NP_942030; XP_008757918; XP_017444445; XP_008757923; XP_008757921; XP_017444443; XP_017444444; XP_017444449; XP_017444447; XP_017444448	P20974; Q95576; Q9EPH9; Q4FZV8; P97912
Art3	305235	672075734; 58865636; 1046858629; 1046858631	XP_006250789; XP_006250790; XP_008768249; NP_001012034	Q6AYJ9
Art4	312806	291042681	NP_001166980	F1MA10
Art5	259167	564330011; 564330013; 1046840826; 61556767; 564330007; 1046840824	XP_006229908; XP_006229905; XP_006229907; XP_017444328; XP_017444329; NP_001013057	Q5XHY4
Artn	362572	61097943; 564352402; 564352410; 564352398; 1046888925	XP_006238747; XP_006238749; XP_017448983; XP_006238753; NP_445849	Q810F7; Q810F6; Q6AYE8; Q9QZG3
Arv1	292097	672085212; 157818753; 564396303	XP_006255868; XP_008770828; NP_001099667	D3ZTJ1
Arvcf	303798	564377591; 672071725; 1046852654; 1046852652; 1046852658; 1046852656; 1046852669; 196115075; 564377589; 1046852665; 1046852663; 1046852660; 1046852667	XP_017453450; XP_017453445; XP_017453446; XP_017453448; XP_008767102; XP_017453447; XP_006248679; XP_017453444; XP_017453451; XP_006248680; XP_017453443; XP_017453449; NP_001124485	B4F7F3
Arx	317268	154146243	NP_001093644	A6YP92
Arxes2	100360464	564323127; 564400084	XP_006227529; XP_006257345	Q568Z4
As3mt	140925	1046840267; 18376837	XP_017444196; NP_543166	Q8VHT6
Asah1	84431	40254747	NP_445859	Q9EQJ6; Q6P7S1
Asah2	114104	1046839978; 1046839976; 1046839981; 672040043; 1046839972; 16758458; 1046839970; 564333444; 1046839974; 564333434; 564333448	XP_017444136; XP_017444139; XP_006231325; XP_008758542; NP_446098; XP_006231332; XP_017444140; XP_017444135; XP_017444138; XP_006231330; XP_017444137	Q91XT9
Asap1	314961	153945784	NP_001037710	Q1AAU5; Q1AAU6; Q1AAU4
Asap2	362719	1046833494; 1046894451	XP_017450025; XP_008774449	-
Asap3	684122	1046891298; 1046833264; 109477515	XP_017458613; XP_001069024; XP_017449419	-
Asb1	316628	157817787; 564369525; 564369527	XP_006245471; XP_006245472; NP_001101702	B5DF97
Asb10	499972	157822693; 564345409	NP_001102686; XP_006236021	B5DEZ7; F1LQJ8; A0A096MJQ3
Asb11	302666	564399034; 672087333; 157819743	XP_006256920; XP_008771388; NP_001100432	D3ZSF1
Asb12	503446	82654230; 564399479; 1046907843	XP_006257106; XP_017457628; NP_001032444	Q32Q00
Asb13	361268	213511979	NP_001101890	D3ZEJ6
Asb14	680076	282721052; 672079338	XP_008769230; NP_001164220	F1M704
Asb15	500050	672018079; 672049320; 1046886042; 672049322; 672018081; 672018077; 672049324; 1046831207	XP_008761053; XP_008773904; XP_017458255; XP_008761054; XP_008773902; XP_008773903; XP_008761055; XP_017448454	F1M9V9
Asb16	498005	157817793	NP_001102518	D4A8E5
Asb17	687364	157821591	NP_001103146	Q8CHM6
Asb18	316614	157817751	NP_001101701	-
Asb2	299266	58865544; 564357011	XP_006240526; NP_001011984; 	Q5U2S6
Asb3	364227	157817400	NP_001102334	-
Asb4	500017	672048887; 66730286	XP_008760936; NP_001019489	Q6J757
Asb5	361187	112984246; 672080120; 1046863897; 672080123; 1046863894; 564389059	NP_001037712; XP_008769470; XP_017455680; XP_006253162; XP_008769469; XP_017455679	Q4KLY9; D4A0S9
Asb6	296627	564340242; 672044902; 672044905; 58865496	XP_008759863; NP_001011963; XP_008759864; XP_006233974	Q6AYC9
Asb7	365277	157821275; 564328804; 1046843600; 564328806	XP_006229412; XP_017444968; NP_001102385; XP_006229411	D3ZVT6
Asb8	315287	564361830; 1046896061; 1046896064; 157821943; 564361828	XP_017450379; XP_017450378; NP_001101579; XP_006242390; XP_006242391	B5DF17
Asb9	367785	1046907751; 300793818; 564399082; 564399086	XP_006256945; XP_017457609; NP_001178842; XP_006256943	-
Ascc1	294512	672086190; 672086194; 564397833; 564397841; 564397835; 564397845; 564397843; 56090367	NP_001007633; XP_006256471; XP_006256466; XP_006256472; XP_008771103; XP_006256469; XP_006256467; XP_006256470	G3V619
Ascc2	498402	157818999	NP_001102561	-
Ascc3	309887	1046876840; 672086652; 564398377; 672086650; 456367250; 564398379; 	XP_008771214; XP_006256665; XP_008771215; XP_006256664; NP_001263986; XP_017457155	A0A0A0MY43
Ascl1	64186	11693148	NP_071779	P19359
Ascl2	24209	13928686	NP_113691	P19360
Ascl3	246301	672037685; 403420620	NP_001258163; XP_008757903	Q8VD56
Ascl4	299687	564308133; 564358757	XP_006226038; XP_006241232	D3ZS54
Ascl5	363991	1046822812; 1046857959	XP_017460187; XP_017454536	F1LUI6
Asf1a	294408	213512016	NP_001099859	D3ZFM1
Asf1b	304648	157820675	NP_001100630	B0BN69
Asgr1	24210	564372500; 672067681; 672067683; 7705290	XP_008765991; XP_008765990; NP_036635; XP_006246641	P02706
Asgr2	29403	564372694; 8392926	XP_006246738; NP_058885	P08290; Q5M8C9
Ash1l	310638	1046872694; 672042968; 157818737; 672042976; 672042964; 672042974; 1046872692; 672042966; 672042978	XP_008759382; XP_008759375; XP_008759377; XP_008759380; XP_008759381; XP_008759376; NP_001101159; XP_017446373; XP_017446374	D3ZKH4; A0A0G2K2W6
Ash2l	290829	564389612; 157821569; 564389614	XP_006253366; XP_006253365; NP_001099559	D3ZTV7; A0A0G2JT90
Asic1	79123	564400297; 1046897115; 13162349; 1046897121; 1046897125; 1046897127; 1046897118; 1046897123	XP_017450613; XP_017450616; XP_017450615; XP_017450618; NP_077068; XP_006257440; XP_017450617; XP_017450614	O88762; P55926; Q91YB8; Q99NA1
Asic2	25364	77404415; 35902696	NP_037024; NP_001029186	O55163; Q62962
Asic3	286920	672048571; 27465601; 1046883889	XP_017447985; XP_008760854; NP_775158	O35240
Asic4	63882	119637835	NP_071570	G3V8N2; Q9QYV9; Q9JHS6
Asic5	63866	11560020	NP_071563	Q9R0W5
Asip	24152	16418473; 	NP_443211	Q99JA2
Asl	59085	564379128; 31377525; 564379124	XP_006249309; NP_067588; XP_006249307	Z4YND9; Q4QRB8; P20673; Q6AZ85
Asmt	246281	564378524; 189571605; 564378526	XP_006249054; XP_006249053; NP_653360	B3GSH5; O09179
Asmtl	288527	318104865; 564378544	NP_001099385; XP_006249063	D4AA35
Asna1	288919	672084369; 672084371; 672084367; 213512072	XP_008770590; NP_001093975; XP_008770591; XP_008770589	G3V9T7; Q4G022
Asns	25612	148747576; 564345794	NP_037211; XP_006236151	Q66HR8; P49088
Asnsd1	299507	157823035	NP_001100233	-
Aspa	79251	564372977; 1046850523; 13242314; 564372981; 564372983	XP_017453032; XP_006246877; NP_077375; XP_006246879; XP_006246880	Q6AZ03; A0A1W2Q6K0; Q9R1T5
Aspdh	292875	158138545	NP_001009643	Q5I0J9
Aspg	246266	21426773	NP_653351	O88202; Q4G088
Asph	312981	1046832365; 564350300; 672052073; 672019086; 564304957; 1046832367; 564350292; 564350294; 672052082; 672052084; 672019106; 564304951; 564304963; 564304969; 564350284; 672019104; 564350296; 672019095; 1046832363; 1046832369; 564304959; 564304961; 564304965; 1046832361; 1046832371; 564304967; 564350290; 564350298; 564350302; 672019083; 672019098	XP_006237917; XP_006237922; XP_006237923; XP_008761797; XP_008774122; XP_008774123; XP_006225252; XP_006225256; XP_006237924; XP_008761794; XP_008774124; XP_006225258; XP_006225260; XP_008761796; XP_017458443; XP_006225255; XP_008774121; XP_017458441; XP_017458442; XP_017458444; XP_006225261; XP_006237920; XP_006237921; XP_006225257; XP_006225259; XP_006237925; XP_017458445; XP_017458446; XP_008774116; XP_008774117; XP_006237926	A0A0G2K2B5; Q5U2Q8; A0A096MKE0
Asphd1	293498	109462870; 1046846627; 1046819194; 1046846625; 1046846629; 1046819192; 1046819190; 62641297	XP_001078017; XP_017445716; XP_017445715; XP_017445717; XP_017446734; XP_017446735; XP_215083; XP_017446736	D3ZWE1
Asphd2	364948	1046854641; 1046854635; 1046854639; 57528390; 672073383; 1046854637	XP_017453905; XP_008767573; XP_017453906; XP_017453903; XP_017453904; NP_001009716	Q5HZW3
Aspm	289054	310688891	NP_001099425	D3ZZQ1
Aspn	306805	62078745; 564390725	NP_001014030; XP_006253757	Q5XIH1
Aspnl1	103690027	564390757; 672081381	XP_008769779; XP_006253769	Q5XIH1
Asprv1	500243	672050382; 672018516	XP_008761336; XP_008774007	-
Aspscr1	691026	672025587; 392332017; 392351824	XP_001076577; XP_002724631; XP_008773879	-
Asrgl1	246307	21489983	NP_659557	Q8VI04; Q8CG44
Ass1	25698	25453414; 564340240	XP_006233973; NP_037289	P09034
Aste1	363130	281599337; 564365249; 1046900754; 564365255; 1046900752; 672063070; 672063072; 672063074	XP_006243734; XP_008764770; XP_008764766; XP_008764768; NP_001035246; XP_008764767; XP_008764769; XP_006243737	E9PU85; A0A0G2K873
Astl	296129	157817618	NP_001099974	-
Astn1	304900	1046856459; 282158057	NP_001164074; XP_008767862	-
Astn2	100361323	1046887291; 405113055; 1046887289; 1046887293; 1046887295	NP_001258292; XP_017448601; XP_017448598; XP_017448599; XP_017448600	A0A0G2JYU3
Asxl1	311553	1046882574; 672017635	XP_008760618; XP_008773815	-
Asxl2	313922	564306866; 672020467; 392340944; 564306868; 672055617; 672020469; 672055619; 392340946; 672020465; 	XP_003754203; XP_006225775; XP_008762764; XP_003754204; XP_008774414; XP_008774416; XP_008762765; XP_006225774; XP_008774415; 	D3Z8N9
Asz1	170578	18543361	NP_570106	Q8VHF9
Atad1	309532	78097112; 1046842887	NP_001030174; XP_017444794	Q505J9; B3STU2
Atad2	314993	199560855	NP_001128351	-
Atad2b	500625	68342013	NP_001020322	Q66HB4
Atad3a	298682	77917538; 	NP_001030094	Q3KRE0
Atad5	303348	564373390; 392331829; 392351410; 564313028	XP_001080963; XP_006220799; XP_006247025; XP_220750	D4A058
Atat1	361789	564396684; 1046876876; 564396682; 1046876878; 1046876880; 47059197	XP_017457164; XP_017457163; XP_006256013; XP_006256012; NP_997663; XP_017457162	Q6MG11
Atcay	362826	93352570	NP_001035280	Q1M168
Ate1	293526	157822679; 1046846692	NP_001099770; XP_017445725	D4A2N1
Atf1	315305	213512092	NP_001094365	Q5BK34; F7FD47
Atf2	81647	13591926	NP_112280	Q62870; Q00969
Atf3	25389	6978541	NP_037044	P29596
Atf4	79255	13242322	NP_077379	Q9ES19; B0BMW3
Atf5	282840	564327916; 1046840845; 150246526	XP_006229042; XP_017444334; NP_758839	Q8CIT6; Q6P788; A0A0G2JSS0
Atf6	304962	1046856506; 672074774; 157821879	NP_001100666; XP_017454318; XP_008767960	B5DF18; G3V909
Atf6b	406169	162138903; 564396751	XP_006256045; NP_001002809	Q4G097
Atf7	315333	564361997; 157824091; 672060085	NP_001101585; XP_006242458; XP_008763969	G3V7X9; B0BMY0
Atf7ip	312800	564304586; 564349504; 1046886908; 564349493; 564349497; 564349502; 564304583; 564304588; 564304590; 1046886912; 392347734; 392340172; 564304579; 672018865	XP_006225168; XP_006237635; XP_006237637; XP_017448549; XP_003749906; XP_006237639; XP_008774085; XP_003754002; XP_006225171; XP_017448548; XP_006225166; XP_006237640; XP_006225169; XP_006225170	D3ZS88
Atf7ip2	497859	672066597; 672066599; 62945298; 564370402; 564370388; 564370396	XP_006245794; XP_006245797; XP_008765717; XP_008765718; NP_001017471; XP_006245790	Q5XIL7
Atg10	688555	564334741; 564334745; 1046873754; 157824002; 564334743	XP_006231819; XP_006231820; NP_001102975; XP_017446604; XP_006231818	D4A9K6
Atg101	300240	564361820; 402794103; 402794111	NP_001258043; XP_006242386; NP_001007660	Q6AY69
Atg12	361321	1046868386; 84042517	XP_017456486; NP_001033584	Q5M9F9; Q2TBJ5
Atg13	362164	403310699	NP_001258141	-
Atg14	305831	157822327	NP_001100728	D4A4K3
Atg16l1	363278	564369545; 158711749; 564369547	XP_006245481; XP_006245482; NP_001102279	D3ZFK6; A0A0G2K9U6
Atg16l2	308865	564330073; 300797017; 1046842415; 1046842419; 564330075	XP_017444678; NP_001178489; XP_017444677; XP_006229939; XP_006229938	D4A9M7
Atg2a	689688	672039517; 157817823	XP_008758402; NP_001103015	D3ZT64
Atg3	171415	19705511	NP_599221	Q6AZ50; Q9ESH2
Atg4a	678769	187282046	NP_001119770	B1H274
Atg4b	316640	564369842; 564369840; 71043632	NP_001020882; XP_006245596; XP_006245595	A0A0G2QC33; Q4KM36; F1LRG2
Atg4c	313391	157818033; 1046888402	NP_001101418; XP_017448858	-
Atg4d	686505	210032083	NP_001094483	M0R5T6; B4F756
Atg5	365601	62079231	NP_001014272	Q5XIS0
Atg7	312647	564348209; 58865764; 564348211; 672050843	XP_006237095; XP_008761461; XP_006237096; NP_001012097	Q641Y5
Atg9a	363254	672065701; 564369100; 62079163; 672065703; 672065705	XP_006245309; XP_008765488; NP_001014240; XP_008765486; XP_008765487	Q5FWU3
Atg9b	499973	300794915; 564345411	XP_006236022; NP_001178897	D4ABD5
Atic	81643	48675845	NP_112276	Q6IN16; O35567
Atl1	362750	57770372; 1046892563	XP_017449716; NP_001009831	Q6PST4
Atl2	298757	213511883; 564354676; 564354678; 1046891793	XP_017449556; XP_006239702; XP_006239703; NP_001094141	Q562A0; F1LQ09
Atl3	309187	112984140; 564332292; 1046842655	XP_006230874; XP_017444746; NP_001037706	A0A0G2JSS9; Q0ZHH6
Atm	300711	564363708; 157818713; 672061877	NP_001100291; XP_006243130; XP_008764444	D4ACL8; A0A0G2K3I0
Atmin	315037	300796412	NP_001178715	-
Atn1	29515	158517923; 1046883924; 1046883922	XP_017447995; NP_058924; XP_017447994	G3V7W3; D4ADX1
Atoh1	500156	157823343	NP_001102708	D3ZQL9
Atoh7	365564	281427231	NP_001163953	D3ZG53
Atoh8	500200	157823435	NP_001102711	D4AA26
Atox1	84355	16758088	NP_445811	Q549B3; Q9WUC4
Atp10a	365266	213513304	NP_001135407	-
Atp10b	303056	1046850928; 1046850922; 1046819662; 1046819664; 564312571; 1046819670; 1046850924; 1046819668; 1046819666; 1046850932; 1046850926; 1046850930	XP_006246191; XP_017459523; XP_017459526; XP_017453110; XP_008765859; XP_017453109; XP_017459525; XP_017453108; XP_017459522; XP_006220697; XP_017459524; XP_017453111	D4A4W5
Atp10d	360932	672076302; 1046823606	XP_008768400; XP_017460350	-
Atp11a	306600	1046863725; 189163522; 1046863722; 1046863728; 1046863731	XP_017455641; NP_001100794; XP_017455639; XP_017455640; XP_017455642	D4A7K5
Atp11b	361929	1046876008; 1046827230	XP_017449363; XP_017446865	-
Atp11c	317599	1046909277; 564323433; 1046909274; 564400847; 1046839113; 672032836; 1046909271; 564400851; 1046839116	XP_006227628; XP_017457899; XP_006257659; XP_008756793; XP_017457897; XP_017457898; XP_006257661; XP_017443831; XP_017443832	D3ZFC5
Atp12a	171028	675294849; 1046860703; 1046860701; 675294847	NP_598201; XP_017455063; NP_001288593; XP_017455062	G3V8S4; A0A0G2JWS9
Atp13a1	290673	170016079	NP_001099549	G3V7I3
Atp13a2	362645	564353704; 564353700; 564353706; 564353708; 564353702; 564353710; 290746382; 564353712	XP_006239314; NP_001166903; XP_006239312; XP_006239311; XP_006239313; XP_006239309; XP_006239310; XP_006239308	B5DEH6
Atp13a3	678704	157819961	NP_001102839	G3V677
Atp13a4	288026	672071392; 329755323	NP_001178587; XP_008767018	F1M9L4
Atp13a5	303856	300793816; 672071404	XP_008767022; NP_001178586	F1MA70
Atp1a1	24211	6978543	NP_036636	P06685; Q64609
Atp1a2	24212	6978545	NP_036637	P06686
Atp1a3	24213	1046840500; 6978547	NP_036638; XP_017444264	Q16732; Q9Z1G6; P06687
Atp1a4	29132	402478613; 12408294; 1046856201	NP_001257959; NP_074039; XP_017454251	Q64541; Q5PQV3
Atp1b1	25650	148747253	NP_037245	Q63062; P07340
Atp1b2	24214	564372504; 564372502; 56799390	XP_006246642; NP_036639; XP_006246643	Q5M9H4; D3ZQE0
Atp1b3	25390	6978553	NP_037045	Q63377
