GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
Dmac2	66349	31560249; 594190944	NP_001277416; NP_079780	Q9D7K5; Q8CA44
Dmac2l	68055	755543012; 568980291; 568980293; 755543015; 1371985489; 1371985693; 755543007; 755543010; 13386040	XP_011242466; NP_080812; XP_006516244; XP_011242464; NP_001348620; XP_011242467; NP_001348619; XP_006516243; XP_011242465	Q9CRA7; Q8R2M3
Dmap1	66233	568929470; 568929468; 568929466; 12963557	XP_006503329; XP_006503330; NP_075667; XP_006503331	Q9CSS9; Q9DB33; Q9JI44; Q99LM0
Dmbt1	12945	568949535; 568949545; 568949539; 568949541; 568949547; 568949533; 568949543; 568949551; 568949537; 1109663865; 87239967; 568949549	XP_006507365; XP_006507369; NP_001334561; XP_006507363; XP_006507367; XP_006507361; XP_006507362; NP_031795; XP_006507364; XP_006507366; XP_006507368; XP_006507370	Q60997; Q9JMJ9; Q80YC6
Dmbx1	140477	1039766573; 70909349; 755507767; 1039766571; 1039766568; 70909343	XP_017175447; XP_017175448; NP_570935; NP_001020738; XP_011238738; XP_017175446	Q91ZK3; Q91ZK4; Q8VHG8; B1ASG1; Q8K4U6; Q8CH43
Dmc1	13404	568991293; 568991291; 6753650; 506325197; 568991289	XP_006520471; XP_006520470; NP_034189; NP_001265155; XP_006520472	Q61880; Q8C610; Q14AN8
Dmd	13405	930588909; 930588903; 930588905; 930588907; 6681203; 569009611; 1039796206; 1039796222; 1039796225; 569009601; 1039796209; 1039796213; 1039796216; 1039796219; 569009599; 930588901	XP_017173866; XP_017173867; XP_006527831; NP_001300963; NP_001300964; NP_001300967; XP_006527836; XP_017173862; XP_017173868; NP_001300966; XP_006527830; XP_017173864; XP_017173865; NP_031894; XP_017173863; NP_001300965	A2A9Z0; O35653; Q8BHM1; A0A023ZTV5; A2A9Z2; A0A023ZT56; P11531; Q60703; A2A9Z1; Q3TWL4
Dmgdh	74129	21311901	NP_083048	Q8R1S7; B1B1D0; Q9DBT9
Dmkn	73712	261244936; 1608193200; 50284532; 261244938; 261244933; 568946624	NP_082894; XP_006540453; NP_001159646; NP_001356288; NP_001159645; NP_766487	E9Q2P1; Q6E0U6; E9QLW7; Q9D1D0; Q6P253; Q6SZJ9; E9QLW8
Dmp1	13406	88900499; 568935273; 1314817909	NP_058059; XP_006534829; NP_001345942	O55188; Q3TZB6
Dmpk	13400	568944812; 568944814; 568944818; 299758507; 14192945; 755519072; 568944808; 568944816; 568944810; 568944821; 299758505	XP_006539581; XP_006539582; XP_006539583; XP_006539579; XP_006539580; NP_001177419; XP_006539585; XP_011248735; XP_006539584; NP_115794; NP_001177420	P54265; E9Q6J9
Dmrt1	50796	755563391; 40254566	NP_056641; XP_011245582	Q19AV2; Q9QZ37; Q2TDQ9; Q6Y953; Q6Y951; Q9QZ59; Q9QZA4
Dmrt2	226049	29789377; 569007030; 569007032	XP_006527045; NP_665830; XP_006527046	Q9JJU3; Q8BG36; Q3USI7; Q3USI4; Q8K185; Q9JJU0; Q9WVM0
Dmrt3	240590	569007207; 256773281	NP_796334; XP_006527129	Q8CGX1; Q80WT2
Dmrta1	242523	28316744	NP_783578	A2AL09; Q8CFG4
Dmrta2	242620	568929106; 112821685; 568929108	XP_006503157; XP_006503156; NP_758500	Q8CFF8; A2A9A2
Dmrtb1	56296	568929438; 242332576; 	NP_063925; XP_006503315; 	Q3V0Z3; A2A9I7; Q8CGW8
Dmrtc1a	70887	269995936; 21735457; 84490367; 569010639; 569010643; 1039798507	NP_083654; NP_001033705; XP_017174108; NP_081867; XP_006528343; XP_006528345	B1AX34; B1AX31; Q9D5U3; Q2PMY0; Q9D9R7; B1AX32
Dmrtc1b	632708	269784717; 890769677	NP_001034205; NP_001297543	Q2PMX7; Q2PMX6; A2AI93
Dmrtc1c1	71083	569010649; 569010651; 569010655; 218084145; 569010661; 569010663; 569010653; 569010665; 1327850278; 569010659	XP_006528356; NP_001136163; XP_006528349; XP_006528355; XP_006528354; NP_001346557; XP_006528350; XP_006528351; XP_006528348; XP_006528353	Q9D410; Q14AJ8
Dmrtc1c2	668357	569010587; 569010585; 1039798353; 569010583; 218084092; 569010595; 755565709; 893567032; 569010589	NP_001297613; XP_006528316; XP_006528319; XP_011245967; XP_017174096; NP_001136162; XP_006528317; XP_006528322; XP_006528318	Q9D410; Q14AJ8
Dmrtc2	71241	1039779936; 568946555; 568946557; 27532961	XP_006540421; XP_017167796; NP_082008; XP_006540422	A6H6T0; Q8CGW9
Dmtf1	23857	160333146; 568932782; 568932778; 755510659; 1039771488; 755510656; 160333142	XP_006503635; XP_011238970; NP_035936; XP_011238971; XP_017176367; NP_001103797; XP_006503637	P70413; Q8CE22; Q3TUR9; Q8BQX6; Q8CCZ0; Q80VR8; Q8CA56
Dmtn	13829	568986666; 1334575516; 568986656; 1039745464; 1334928373; 568986682; 568986686; 568986692; 755547772; 1039745475; 1039745481; 358030320; 1334575511; 568986676; 568986684; 568986690; 755547766; 358030322; 1334575483; 568986678; 568986696; 358030316; 1334575478; 568986662; 568986672; 1334928275; 568986658; 568986680; 358030318; 1334575507; 7305037; 568986664; 568986674; 568986694; 358030313	XP_006518595; XP_011243251; XP_011243252; NP_001239592; NP_001346953; XP_006518589; XP_006518590; XP_017171328; XP_017171329; NP_001346956; XP_006518596; XP_006518598; XP_006518600; XP_017171327; NP_001346957; XP_006518585; XP_006518588; XP_006518594; NP_001239595; NP_001346955; XP_006518593; XP_006518604; NP_001346959; XP_006518586; XP_006518597; XP_006518599; NP_001239593; XP_006518602; XP_006518603; NP_001239594; NP_001346954; XP_006518605; NP_001239591; NP_001346958; NP_038542	Q3TYC5; Q9WV69; F8WIF9; Q8JZV5; Q9WVM2
Dmwd	13401	568944830; 225637538; 568944828	XP_006539588; NP_034188; XP_006539587	Q5HZG7; Q08274; E9QLY4
Dmxl1	240283	569003823; 359718964; 569003825; 569003827	NP_001074840; XP_006525981; XP_006525979; XP_006525980	Q3TLG8; Q6PNC0; Q6PHM6; Q8BQF2
Dmxl2	235380	189491684; 755530062; 755530064; 755530066	NP_766359; XP_006511148; XP_006511147; XP_006511146	Q8CCU3; Q3TNY5; B0V2P5; Q69ZX5; Q8BPN8; B0V2P4
Dna2	327762	1039733345; 283837769	XP_017169460; NP_796346; 	Q8BSZ0; Q6ZQJ5; Q8R3J3; Q14BM9
Dnaaf1	68270	13386136	NP_080924	Q9CVS9; Q9D2H9
Dnaaf2	109065	66793421; 1039739653	NP_081545; XP_017170423	Q8BPI1; Q3T9I8; Q3U4G5; Q6P5G9; Q9CZC7
Dnaaf3	436022	85702051; 568946142	XP_006540229; NP_001028720	Q3UYV8; B2RX55
Dnaaf4	67685	568961934; 1039793990; 255683351; 255683353; 568961936	NP_080590; XP_006511444; XP_017169026; NP_001157197; XP_006511445	G3X916; Q9CVZ5; E9Q973; Q9D5H5; Q8C5Z6; Q8R368
Dnaaf5	433956	1390249191; 124486915	NP_001350414; NP_001074734	B9EJR8
Dnah1	110084	1039745318; 256773234; 568986458; 568986460; 1039745320	NP_001028840; XP_017171288; XP_006518490; XP_017171287; XP_006518489	Q8R584; E9Q8T7; O08828
Dnah10	56087	254692843	NP_062409	D3YYQ8
Dnah11	13411	1039739719; 568978801; 1039739714; 1039739716; 1039739712; 568978793; 568978803; 568978799; 393794754; 568978795	XP_006515526; XP_017170435; XP_017170436; XP_006515530; NP_034190; XP_017170437; XP_006515529; XP_006515527; XP_017170438; XP_006515531	E9Q7N9
Dnah12	110083	1039747178; 1039747173; 1039747175	XP_017171730; XP_017171732; XP_017171731	-
Dnah14	240960	1039731523; 	XP_017169555	-
Dnah17	69926	568975681; 568975683; 283837762; 568975686	XP_006534214; NP_001161218; XP_006534215; XP_006534213	A2A520; E9Q7P0
Dnah2	327954	568974445; 755538883; 124486773; 755538894; 568974455; 755538885; 568974441; 755538887; 755538890; 1039737473; 568974457; 755538880; 1039737478	XP_006533623; XP_011247381; XP_011247376; XP_006533615; XP_011247377; XP_011247383; XP_017170099; XP_006533617; XP_011247378; NP_001074799; XP_006533622; XP_011247379; XP_017170100	D3Z667
Dnah3	381917	568952034	XP_006508479	A0A140LIN9
Dnah5	110082	568990343; 342672105	XP_006520077; NP_579943	E9QKD7; Q8BWG1; Q8VHE6
Dnah6	330355	257467659; 568942240; 568942238	XP_006506364; XP_006506365; NP_001158141	E9Q0B6
Dnah7a	627872	1039729706; 568906766; 354983491	NP_001238999; XP_006496242; XP_017177389	E9Q0T8
Dnah7b	227058	568906223; 568906254; 568906256; 568906258; 755492376; 755492353; 755492362; 755492378; 755492381; 1577429063; 568906262; 1039728644; 568906244; 568906250; 237874196; 568906229; 568906242; 755492355; 755492374; 568906231; 568906238; 568906240; 755492371; 568906225; 568906227; 568906235; 568906260; 755492359; 568906246; 	XP_006495975; XP_006495977; XP_006495979; XP_006495984; XP_006495990; XP_011236789; XP_011236793; XP_011236797; XP_017175756; NP_001355646; XP_006495981; XP_006495993; XP_011236795; XP_011236796; XP_006495982; XP_006495992; XP_011236790; XP_011236792; XP_006495985; XP_006495988; XP_006495991; XP_006495994; XP_011236794; XP_006495983; XP_011236798; NP_001153858; XP_006495978; XP_006495986; XP_006495976; 	L7N1Y0
Dnah7c	100101919	568907320; 755493088; 878293351	NP_001297264; XP_006496450; XP_011236933	A0A087WR13
Dnah8	13417	568998873; 153792273; 568998877; 568998869; 568998875	XP_006523655; XP_006523654; NP_038839; XP_006523653; XP_006523651	Q91XP8; Q91XQ0; Q91V63; Q91XP9; O08830; Q3V0D2; Q9QY72; E9Q010; Q99MH8
Dnah9	237806	568973731; 568973739; 1039737085; 1039737082; 1039737078; 1039737080; 568973733; 568973729; 568973741; 1039737073; 153791933	XP_017170011; XP_017170014; XP_017170012; XP_006533277; XP_006533281; XP_017170010; NP_001093103; XP_006533276; XP_006533280; XP_006533275; XP_017170013	B1AR51
Dnaic1	68922	227330593	NP_780347	Q8BKY5; Q8C0M8; A2ANP4
Dnaic2	432611	568974666; 568974670; 568974664; 568974668; 114145546	NP_001030050; XP_006533725; XP_006533726; XP_006533723; XP_006533724	A2AC93; A2AC94; Q3UU98
Dnaja1	15502	6680297; 258547146; 258547148	NP_001158144; NP_032324; NP_001158143	P54102; Q5NTY0; P63037
Dnaja2	56445	9789937	NP_062768	Q9QYJ0
Dnaja3	83945	205361112; 205361114	NP_076135; NP_001128584	Q9DBJ7; Q9DC44; Q99L09; Q99P71; Q8BSM0; Q99P76; Q99M87; Q9CT11; Q3TJA9
Dnaja4	58233	568961808; 1276317586; 11496255	NP_067397; NP_001344804; XP_006511388	A0A1S6GWG7; Q9CUD4; Q9JMC3; B2RW09; Q9CTD6; Q543S9
Dnajb1	81489	9055242; 815891097	NP_001295156; NP_061278	Q3TU79; Q9QYJ3; Q3TYL7
Dnajb11	67838	110625998; 299890782; 299890784	NP_001177733; NP_080676; NP_001177734	Q543I7; Q8BK79; Q8VCY1; Q8VHB1; Q99KV1; A6X957
Dnajb12	56709	31982701	NP_064349	Q8K037; Q9QYI4
Dnajb13	69387	568951359; 29648322; 568951361	XP_006508247; XP_006508248; NP_705755	Q80Y75; Q8CJA2
Dnajb14	70604	568924000; 568924002; 226371690	XP_006502119; NP_001028327; XP_006502118	Q3TU54; Q149L6; Q3UTE5
Dnajb2	56812	30017349; 229577332; 229577344; 229577329; 568907725; 229577334	XP_006496574; NP_064662; NP_001153355; NP_001153356; NP_835156; NP_001153357	Q8BPF6; Q921S2; Q9QYI5; Q3TB24
Dnajb3	15504	226530999	NP_032325	Q9DAN4; O35723; Q9DAN3; Q5RL26
Dnajb4	67035	568923720; 21313156; 1248495009; 568923722; 165377271; 1248493981	NP_001343293; XP_006501984; NP_001343292; XP_006501983; NP_080202; NP_081563	Q3TS92; Q9D9U2; Q9D832
Dnajb5	56323	568927081; 9845259; 1243019450; 568927083; 568927085; 1243019437; 1243019456; 568927077; 568927079	XP_006538173; XP_006538174; XP_006538171; XP_006538172; XP_006538175; NP_001342369; NP_063927; NP_001342367; NP_001342368	O89114; Q3TY13
Dnajb6	23950	1317049001; 83816903; 188219642; 568933177; 83816907; 568933179; 188219644	XP_006535771; NP_001033030; NP_035977; XP_006535770; NP_001346127; NP_001033029; NP_001120839	O54946; Q3UYT7; Q3UNJ5; Q3U6L0; Q99LA5; G3X8S5; Q3TE94; Q9QYI9
Dnajb7	57755	119392096	NP_067292	Q9DA41; Q9QYI8
Dnajb8	56691	9910416	NP_064348	Q9QYI7
Dnajb9	27362	31560495	NP_038788	Q9QYI6; Q9DAW1; Q5D0C3
Dnajc1	13418	755496646; 7106295; 300192993	NP_031895; XP_011237249; NP_001177746	Q61712
Dnajc10	66861	119508443; 	NP_077143	Q99LV4; Q8CIB0; A2ASA2; Q71S84; Q9DC23; Q8CH78; Q9CUG0
Dnajc11	230935	1039767589; 164565394; 1039767586	XP_017175674; XP_017175673; NP_766292	Q5U458; Q8C1Z4; A2A8C9; Q8BP83; Q8C6U5
Dnajc12	30045	358424826; 13994138	NP_038916; NP_001240614	Q9R022; D3Z0D9; Q9CWA0
Dnajc13	235567	1327850481; 568962910; 247494234; 755531306	XP_006511771; NP_001346669; NP_001156498; XP_011241180	Q3TNE7; D4AFX7; Q8BNL1; Q8CHD7; G3X922
Dnajc14	74330	1331036842; 568968819; 1331036887; 568968823; 226532708; 568968821	XP_006514313; XP_006514312; NP_001346753; NP_001346754; NP_083149; XP_006514314	Q8BUU3; Q9CYB7; Q3TX73; Q921R4
Dnajc15	66148	13384760	NP_079660	Q78YY6
Dnajc16	214063	27261818	NP_758841	Q8BHI2; Q80TN4; Q811G1
Dnajc17	69408	254540074	NP_631878	A3KGH2; Q91WT4; Q8C5R1
Dnajc18	76594	569004706; 569004712; 569004708; 569004710; 21313260	XP_006526408; NP_083945; XP_006526406; XP_006526407; XP_006526409	Q8R371; Q9CZJ9
Dnajc19	67713	71061474; 559767237; 559767239; 71061477	NP_001273902; NP_001021382; NP_080608; NP_001273901	Q9CQV7; D3Z5K6; Q9D896; G3X8S1; Q8R1N1
Dnajc19-ps	100503724	309268906	XP_003084767	Q9CQV7; Q9D896; Q8R1N1
Dnajc2	22791	568933120; 6677659	NP_033610; XP_006535742	Q61866; P54103; E9Q9H2
Dnajc21	78244	1039749712; 190194391	NP_084322; XP_017172290	Q3USP3; E9Q8D0
Dnajc22	72778	568993458; 568993462; 28849883; 755552184	XP_006521522; NP_789805; XP_011244040; XP_006521520	Q8CHS2
Dnajc24	99349	21729759; 	NP_081268; 	Q91ZF0; A2A4A1; Q9D9S7
Dnajc25	72429	568927426; 239985468; 568927424	XP_006538338; XP_006538339; NP_001028337	A2ALW5; Q0VBC8; A2ALW4; Q3UWH0
Dnajc27	217378	568977666; 70887607; 568977673; 	NP_694722; XP_006515115; XP_006515116	Q8CFP6; Q8BX00; Q923I0
Dnajc28	246738	153267505; 153267502	NP_619605; NP_001093208	E9Q1L7; Q99JX0; Q8C4S9; Q8VCE1
Dnajc3	100037258	31542563	NP_032955	Q60873; Q91YW3; Q3UFV9
Dnajc30	66114	21644569	NP_079638	P59041
Dnajc4	57431	569007595; 1257171195; 1257171147; 755563491; 10181196; 1257171193; 569007599	XP_011245606; XP_006527302; XP_006527300; NP_001343929; NP_001343930; NP_065591; NP_001343928	Q9D844; O70278
Dnajc5	13002	755502236; 7949027; 409191597; 409191595	NP_001258513; XP_011238225; NP_001258514; NP_058055	P60904; P54101
Dnajc5b	66326	254587951; 568921013; 568921011; 254587953; 254587949	NP_079765; XP_006535578; NP_001157009; XP_006535579; NP_001157008	Q9CQ94; Q810R9
Dnajc5g	231098	755511471; 1039771212; 1104167563; 29244106	XP_017176319; XP_011239025; NP_001334253; NP_808345	Q8C632; A0A087WQK2
Dnajc6	72685	257196146; 257153390; 1241781191; 38259194; 1039768734; 257153388; 1241781322; 568929798	NP_940804; XP_017175882; NP_001158055; NP_001158057; NP_001342109; NP_001342108; NP_001158056; XP_006503484	Q80TZ3; B1B0B9; Q6P2K9; Q8C7L9
Dnajc7	56354	755539208; 31980994	XP_011247456; NP_062769	Q8BPG3; Q9QYI3; Q3TKR1; Q6VVW6; Q8CIL2; Q9CT29; Q9D026
Dnajc8	68598	157951606	NP_765988	Q6PG72; Q6NZB0; A2ALF2; Q8C2M6
Dnajc9	108671	23956266	NP_598842	Q8R0E3; Q91WN1; Q3TSG3
Dnal1	105000	1083260016; 164607162; 568978601; 568978599	XP_006515433; NP_083097; XP_006515434; NP_001333457	Q05A62; A0JLX1; Q9DAH9
Dnal4	54152	568992863; 168693651	XP_006521233; NP_059498	Q9DCM4; O54793; Q3V233; Q99K65
Dnali1	75563	30172570	NP_780432	Q0IIN3; Q8BVN8
Dnase1	13419	1268743658; 568994585; 568994587; 568994583; 161016801	XP_006521839; XP_006521837; XP_006521838; NP_001344072; NP_034191	O70532; P49183; Q14BW6
Dnase1l1	69537	569010622; 1039798457; 21312312; 1039798454; 288541367; 569010624	XP_006528336; NP_081385; XP_017174102; XP_006528335; NP_001165625; XP_017174103	Q9D7J6; Q3UD56; A0A158SIT2
Dnase1l2	66705	569001369; 569001367; 148539953	XP_006524862; NP_079994; XP_006524861	Q3KQI2; Q9D1G0; Q9D645
Dnase1l3	13421	84490435; 568985234	XP_006517984; NP_031896	Q91X38; O55070
Dnase2a	13423	1566846652; 1566846631; 6753654	NP_001355225; NP_001355224; NP_034192	P56542; Q3UM14; O55053
Dnase2b	56629	568923391; 568923389; 755504144; 225543441; 755504142; 	XP_006501826; XP_011238474; XP_011238473; NP_064341; XP_006501827; 	Q9QY48; Q8C589
Dnd1	213236	207446695	NP_775559	Q6VY05; Q8CFK7
Dner	227325	23097346	NP_690879	Q8VD97; Q8R226; Q8R4T6; Q8JZM4; Q3U697
Dnlz	52838	218777849; 218777851; 110625712	NP_001132976; NP_001132975; NP_081104	Q9D113; Q8K0F4; B2RTG5
Dnm1	13429	755497132; 755497120; 568912897; 1573680645; 755497118; 755497126; 116063570; 755497136; 755497122; 755497138; 755497128; 1039758958; 755497130; 684179332; 755497124; 755497134	XP_006497715; XP_006497716; XP_006497722; XP_006497718; NP_001288666; XP_006497717; XP_006497724; XP_006497725; XP_006497712; XP_006497714; XP_006497713; XP_006497723; NP_034195; XP_006497721; XP_017170817; NP_001355608	A2AN55; Q3UNM1; P39053; Q6PDM5; Q9QXX1; A2AN51; A2AN54; Q8JZZ4; A2AN50; Q9CSY7; Q5DTN7; Q61358; Q61359; Q61360; A0A0J9YUN4
Dnm1l	74006	568996393; 568996395; 71061455; 1334575528; 1334575530; 568996383; 568996389; 1039751845; 568996385; 1334575532; 568996379; 568996387; 448261637; 568996375; 568996391; 568996377; 1039751850; 568996381; 448261635; 1334575526; 71061458; 568996397	XP_006522700; XP_017172629; NP_001346939; XP_006522702; XP_006522692; XP_006522699; NP_001263269; NP_001346937; XP_006522691; XP_006522694; XP_006522696; NP_001346936; XP_006522695; XP_006522698; XP_006522701; NP_690029; XP_006522693; XP_006522697; XP_017172630; NP_001021118; NP_001263270; NP_001346938	E9PUD2; Q8BQ64; A0A2U3TZ67; Q8BNQ5; Q8K1M6; Q8CGD0; Q8K1A1
Dnm2	13430	568958781; 1039792059; 359751391; 568958787; 568958793; 1039792057; 568958791; 568958795; 359751399; 568958777; 568958785; 1274096151; 568958783; 568958789; 1039792051; 1039792055; 87299637; 1274096165; 1274096120; 568958773; 568958775; 568958779; 568958797; 1039792063; 359751394	NP_001344650; XP_006510036; XP_006510037; XP_006510040; XP_006510047; XP_017168614; XP_006510043; XP_006510046; XP_006510048; XP_017168616; XP_017168618; NP_001240823; XP_006510038; XP_006510041; NP_001344647; NP_001344648; XP_006510045; NP_031897; XP_006510039; XP_006510044; NP_001034609; XP_006510042; XP_017168615; XP_017168617; NP_001240822	Q9DBE1; Q3T9X3; P39054; G3X9G4; Q3TCR7
Dnm3	103967	84490431; 568910356; 568910358; 568910364; 568910362; 568910360; 27369922	NP_001033708; XP_006496665; XP_006496667; XP_006496668; NP_766234; XP_006496666; XP_006496664	Q80TR2; B2RUH0; Q8BZ98; Q8BWW6; Q3UGY9
Dnmbp	71972	569007847; 569007841; 807045921; 1039758183; 36796741; 569007843	XP_006527415; XP_006527413; XP_006527417; XP_006527414; NP_082305; NP_001293017	A0A0R4J055; Q6ZQ05; A0A1D5RLL6; Q8R0Y2; A0A1D5RMB5; A0A1D5RLY0; Q8CEW8; Q9CWU8; Q6TXD4
Dnmt1	13433	313661497; 755528341; 930155592; 327180732; 313661499; 568958803; 327180734	XP_006510051; NP_034196; XP_011240695; NP_001186361; NP_001186360; NP_001186362; NP_001300940	Q3UHZ3; Q9QXX6; P13864; Q7TSJ0; P97413; J3QNW0; Q80ZU3; Q3UWN4; Q9CSC6
Dnmt3a	13435	418203928; 6681209; 24371231; 568977472; 568977466	NP_714965; XP_006515019; NP_031898; NP_001258682; XP_006515016	Q3UH24; Q8CJ60; Q922J0; Q3TZK8; O88508; Q9CSE1
Dnmt3b	13436	172088103; 172088108; 568915293; 568915301; 415701816; 568915289; 568915295; 172088099; 415701903; 568915291; 172088105; 568915287; 568915299; 172088101; 568915297; 415701731; 415701966	NP_001003960; XP_006498745; XP_006498746; XP_006498749; NP_001258673; NP_001258674; XP_006498748; XP_006498751; NP_001116469; NP_001258676; NP_034198; XP_006498747; XP_006498752; NP_001003963; NP_001258675; NP_001003961; XP_006498750	O88510; Q541E5; O88509; Q3KR45; O88511
Dnmt3bos	228792	-	-	-
Dnmt3l	54427	545746320; 126158899; 545746313; 23956092; 545746302; 545746278	NP_001271126; NP_062321; NP_001271127; NP_001075164; NP_001271128; NP_001271129	D3YUQ4; A3EWM2; Q9CWR8
Dnpep	13437	568907506; 568907504; 161016822; 161016820	NP_001104301; NP_058574; XP_006496468; XP_006496469	Q8CAJ7; Q3TVK3; Q9Z2W0; Q56A00
Dnph1	381101	110625744	NP_997044	Q3U9Y7; Q80VJ3
Dntt	21673	112734847; 112734841	NP_033371; NP_001036693	Q99PD0; P09838; Q99PD1; Q3UZ80
Dnttip1	76233	19526976	NP_598524	Q3THA4; Q99LB0
Dnttip2	99480	24418931	NP_722501	Q8R2M2; Q3TQW8; Q3UX19
Doc2a	13446	1039777175; 1039777177; 1569120320; 33859540; 1039777173; 1569120352; 1039777181; 1569120325; 1569120337; 1039777179; 1039777183	NP_001355285; NP_001355287; XP_017177458; XP_017177457; XP_017177455; XP_017177456; NP_001355284; NP_001355286; NP_034199; XP_017177459; XP_017177460	Q7TNF0
Doc2b	13447	45433555	NP_031899	Q5SS41; P70169; Q6NXK3
Doc2g	60425	1039758053; 40254529	NP_068563; XP_017173758	A0A0R4J053; Q6P8R8; Q9ESN1
Dock1	330662	88853584; 568950903	NP_001028592; XP_006508028	Q8BUR4; Q3UY80; Q4QQL8; Q6PD14; Q8BVC9; Q91Z55; Q3URT8; Q922V1
Dock10	210293	1039728119; 755493445; 755493453; 568907649; 1039728127; 553726991; 755493443; 755493449; 755493456; 755493465; 1039728122; 755493439; 755493441; 755493451; 1039728131; 190194393; 755493447; 568907639; 755493460; 	XP_006496527; XP_006496530; XP_006496532; XP_006496538; XP_011236985; XP_006496529; XP_006496539; XP_006496533; NP_001272856; XP_006496528; XP_006496534; XP_006496536; XP_006496526; XP_006496531; XP_017175016; XP_017175022; XP_017175008; XP_017175021; NP_780500	A0A087WRP5; F1AHI9; A0A087WQ86; E9QM99; Q8BZN6
Dock11	75974	569009119; 125660464; 569009115; 569009117; 	NP_001009947; XP_006541469; XP_006541470; XP_006541471; 	A2AF47; Q5KTP7
Dock2	94176	1039738803; 1039738801; 117553625	XP_017170351; XP_017170350; NP_203538	Q5SRI4; Q8C3J5; Q99M79; Q6A0A3
Dock3	208869	755531275; 148277096; 755531278; 755531292; 1039792573; 755531284; 755531287; 755531281; 1039792571; 568962876; 755531290	XP_011241175; XP_017168750; XP_006511754; XP_011241171; XP_011241177; XP_011241172; XP_011241173; XP_011241176; XP_017168749; XP_011241174; NP_700462	Q3UHH9; F8VPQ1
Dock4	238130	568977748; 1039740301; 568977744; 568977746; 568977742; 568977740; 568977750; 62543571	XP_006515152; XP_006515150; XP_006515153; XP_017170543; XP_006515148; XP_006515151; NP_766391; XP_006515149	A0A1Y7VLY2; P59764
Dock5	68813	124358946; 1039746791; 755548810	XP_011243472; XP_017171664; NP_808448	E9QLI4; B2RY04
Dock6	319899	755528907; 755528910; 1039793481; 1039793475; 755528905; 755528914; 124301208; 568959684; 568959686	XP_011240854; XP_011240856; NP_796004; XP_011240855; XP_006510485; XP_006510486; XP_011240857; XP_017168915; XP_017168916	Q8VDR9; E9QKQ0; Q6PFY0; Q8BJS1; E9QPN7; A0A1L1SQR4; Q3UM59; Q9D461
Dock7	67299	568929557; 568929561; 568929569; 594591539; 568929555; 1604454232; 568929565; 568929573; 1039768483; 1604454205; 78191789; 568929559; 1039768480; 568929567	XP_017175851; NP_001356214; XP_006503380; XP_017175852; NP_001277565; XP_006503372; XP_006503373; XP_006503376; XP_006503377; NP_080358; XP_006503374; XP_006503371; XP_006503378; NP_001356215	A0A0U1RNK7; A2A9M5; E9PX48; A2A9M4
Dock8	76088	62241030; 755563827; 569008016; 569008018	XP_006527498; NP_083061; XP_006527499; XP_011245699	Q8C147; Q9DBQ2; Q8CAP6; Q6PIS0; Q6KAM7; Q8K105; Q7TMQ5
Dock9	105445	568986295; 568986315; 1039745194; 1109516656; 755547528; 1039745185; 124486664; 568986291; 568986307; 190194399; 568986313; 568986317; 568986321; 1039745215; 568986303; 568986309; 568986325; 1039745188; 1039745205; 190194401; 568986293; 568986301; 568986311; 568986331; 1039745200; 1039745202; 1039745217; 190194397; 568986286; 568986297; 568986329; 1039745198; 568986289; 568986299; 568986327; 1039745177	XP_006518411; XP_006518415; XP_006518426; XP_006518428; XP_006518421; XP_006518422; XP_017171245; XP_017171247; XP_017171248; XP_017171249; XP_017171250; NP_598835; XP_006518409; XP_006518412; XP_006518418; XP_006518424; XP_011243183; NP_001121779; XP_006518408; XP_006518410; XP_006518414; XP_006518420; XP_017171253; XP_006518413; XP_006518427; XP_017171251; NP_001121780; XP_006518407; XP_017171246; NP_001334525; XP_006518417; NP_001074508; XP_006518419; XP_006518425; XP_017171244; XP_017171254	F8VPN7; A0A1D5RMM1; A0A1D5RLE0; E9QMR2
Dohh	102115	284005490	NP_598725	Q8BNT3; Q99LN9; Q8BTD5
Dok1	13448	620597344; 171916083; 568940577	NP_001278728; XP_006505560; NP_034200	Q3UWF9; P97465; Q9R213
Dok2	13449	1039745446; 755547750; 755547748; 1039745443; 6753668	XP_011243245; NP_034201; XP_017171324; XP_011243246; XP_017171323	Q99KL1; Q3TX09; O70272; O70469
Dok3	27261	1039743775; 7305003	XP_017171013; NP_038767	Q9QZK7; Q14AA1
Dok4	114255	568955943; 16716573	XP_006530642; NP_444476	Q99KE3; Q3U0X3
Dok5	76829	255069730; 255069732	NP_084037; NP_001157158	Q91ZM9; Q8BRI3; Q9CSM6
Dok6	623279	85677491	NP_001034262	Q2MHE5; B2RSP9
Dok7	231134	568934112; 1143077024; 27370024; 568934110; 1039771227; 568934108; 1143077022; 1143077020; 1143077056	NP_001335203; NP_001335407; XP_006503961; XP_006503962; NP_766296; XP_006503963; XP_017176321; NP_001335204; NP_001335205	Q5FW70; Q8C8U7; A0A0R4J0R2; Q3TCZ6; Q18PE0
Dolk	227697	29244058	NP_808316	Q8R2Y3
Dolpp1	57170	594190936; 1039761460; 594190982; 9966770; 568914042; 	XP_017174636; NP_001277437; NP_065062; NP_001277438; XP_006498270; 	A0A140T8S3; A2AWJ3; Q8R0P7; Q9CRF2; Q9JMF7; Q8BN02
